question,translation,GPT-Score,Google Translate,Score,ChatGPT (no schema),Score
Report the total number of students for each fourth-grade classroom.,أبلغ عن العدد الإجمالي للطلاب في كل فصل دراسي من الصف الرابع.,,,,,
"For each fourth-grade classroom, show the classroom number and the total number of students using it.",لكل فصل دراسي في الصف الرابع، أظهر رقم الفصل الدراسي والعدد الإجمالي للطلاب الذين يستخدمونه.,,,,,
Find the name of the teacher who teaches the largest number of students.,ابحث عن اسم المعلم الذي يدرس أكبر عدد من الطلاب.,,,,,
Which teacher teaches the most students? Give me the first name and last name of the teacher.,أي معلم يدرس أكبر عدد من الطلاب؟ أعطني الاسم الأول واسم العائلة للمعلم.,,,,,
Find the number of students in one classroom.,ابحث عن عدد الطلاب في فصل واحد.,,,,,
How many students does one classroom have?,كم عدد الطلاب في فصل واحد؟,,,,,
How many companies are headquartered in the US?,كم عدد الشركات التي يقع مقرها الرئيسي في الولايات المتحدة؟,,,,,
List the names of companies by ascending number of sales.,قائمة أسماء الشركات بترتيب تصاعدي حسب عدد المبيعات.,,,,,
What are the headquarters and industries of all companies?,ما هي المقرات الرئيسية والصناعات لجميع الشركات؟,,,,,
Show the names of companies in the banking or retailing industry?,أظهر أسماء الشركات في صناعة البنوك أو التجزئة؟,,,,,
What is the maximum and minimum market value of companies?,ما هو الحد الأقصى والحد الأدنى لقيمة السوق للشركات؟,,,,,
What is the headquarter of the company with the largest sales?,ما هي المقر الرئيسي للشركة التي تحقق أكبر مبيعات؟,,,,,
Show the different headquarters and number of companies at each headquarter.,أظهر المقرات الرئيسية المختلفة وعدد الشركات في كل مقر.,,,,,
Show the most common headquarter for companies.,أظهر المقر الرئيسي الأكثر شيوعًا للشركات.,,,,,
Show the headquarters that have at least two companies.,أظهر المقرات الرئيسية التي تحتوي على ما لا يقل عن شركتين.,,,,,
Show the headquarters that have both companies in banking industry and companies in oil and gas industry.,أظهر المقرات الرئيسية التي تحتوي على شركات في صناعة البنوك وشركات في صناعة النفط والغاز.,,,,,
Show the names of companies and of employees.,أظهر أسماء الشركات وأسماء الموظفين.,,,,,
Show names of companies and that of employees in descending order of number of years working for that employee.,أظهر أسماء الشركات وأسماء الموظفين بترتيب تنازلي حسب عدد سنوات العمل للموظف ذلك.,,,,,
Show the names of employees that work for companies with sales bigger than 200.,أظهر أسماء الموظفين الذين يعملون لدى شركات تفوق مبيعاتها 200.,,,,,
Show the names of companies and the number of employees they have,أظهر أسماء الشركات وعدد الموظفين الذين يعملون بها.,,,,,
List the names of people that are not employed by any company,قائمة أسماء الأشخاص الذين لا يعملون لدى أي شركة.,,,,,
list the names of the companies with more than 200 sales in the descending order of sales and profits.,ما هي أسماء الشركات التي تحقق مبيعات تزيد عن 200 بترتيب تنازلي حسب المبيعات والأرباح؟,,,,,
How many film are there?,كم فيلم هناك؟,,,,,
Count the number of films.,عدد الأفلام.,,,,,
List the distinct director of all films.,قائمة بمخرجي الأفلام المختلفين.,,,,,
What are the different film Directors?,ما هي مخرجي الأفلام المختلفين؟,,,,,
What is the average ticket sales gross in dollars of films?,ما هو المتوسط ​​لإجمالي مبيعات التذاكر بالدولار للأفلام؟,,,,,
Return the average gross sales in dollars across all films.,ما هو المتوسط ​​لإجمالي مبيعات التذاكر بالدولار عبر جميع الأفلام؟,,,,,
What are the low and high estimates of film markets?,ما هي التقديرات المنخفضة والعالية لأسواق الأفلام؟,,,,,
Return the low and high estimates for all film markets.,عائدات التقديرات المنخفضة والعالية لجميع أسواق الأفلام.,,,,,
What are the types of film market estimations in year 1995?,ما هي أنواع تقديرات سوق الأفلام في عام 1995؟,,,,,
Return the types of film market estimations in 1995.,أنواع تقديرات سوق الأفلام في عام 1995.,,,,,
What are the maximum and minimum number of cities in all markets.,ما هو الحد الأقصى والحد الأدنى لعدد المدن في جميع الأسواق؟,,,,,
Return the maximum and minimum number of cities across all markets.,الحد الأقصى والحد الأدنى لعدد المدن عبر جميع الأسواق.,,,,,
How many markets have number of cities smaller than 300?,كم عدد الأسواق التي يبلغ عدد المدن فيها أقل من 300؟,,,,,
Count the number of markets that have a number of cities lower than 300.,عدد الأسواق التي يكون فيها عدد المدن أقل من 300.,,,,,
List all countries of markets in ascending alphabetical order.,ما هي جميع الدول للأسواق بترتيب تصاعدي أبجديًا؟,,,,,
"What are the countries for each market, ordered alphabetically?",ما هي الدول لكل سوق، مرتبة ترتيباً أبجدياً؟,,,,,
List all countries of markets in descending order of number of cities.,ما هي جميع الدول للأسواق بترتيب تنازلي حسب عدد المدن؟,,,,,
What are the countries for each market ordered by decreasing number of cities?,ما هي الدول لكل سوق مرتبة بترتيب تنازلي حسب عدد المدن؟,,,,,
Please show the titles of films and the types of market estimations.,يرجى عرض عناوين الأفلام وأنواع تقديرات السوق.,,,,,
What are the titles of films and corresponding types of market estimations?,ما هي عناوين الأفلام وأنواع تقديرات السوق المقابلة؟,,,,,
Show the distinct director of films with market estimation in the year of 1995.,أظهر مخرجي الأفلام المتميزين مع تقديرات السوق في عام 1995.,,,,,
Who are the different directors of films which had market estimation in 1995?,من هم المخرجون المختلفون للأفلام التي كانت لها تقديرات سوقية في عام 1995؟,,,,,
What is the average number of cities of markets with low film market estimate bigger than 10000?,ما هو المتوسط ​​لعدد المدن للأسواق ذات تقدير سوقي منخفض أكبر من 10000؟,,,,,
Give the average number of cities within markets that had a low market estimation larger than 10000?,أعط متوسط ​​عدد المدن داخل الأسواق التي كان لها تقدير سوقي منخفض أكبر من 10000؟,,,,,
Please list the countries and years of film market estimations.,يرجى سرد الدول والسنوات لتقديرات أسواق الأفلام.,,,,,
What are the countries of markets and their corresponding years of market estimation?,ما هي الدول للأسواق وسنوات تقديراتها السوقية المقابلة؟,,,,,
"Please list the years of film market estimations when the market is in country ""Japan"" in descending order.",يرجى سرد سنوات تقديرات أسواق الأفلام عندما تكون السوق في اليابان بترتيب تنازلي.,,,,,
"What are the years of film market estimation for the market of Japan, ordered by year descending?",ما هي سنوات تقدير سوق الأفلام لسوق اليابان، مرتبة حسب ترتيب تنازلي للسنة؟,,,,,
List the studios of each film and the number of films produced by that studio.,قائمة الاستديوهات لكل فيلم وعدد الأفلام التي أنتجتها تلك الاستوديو.,,,,,
How films are produced by each studio?,كيف يتم إنتاج الأفلام من قبل كل استوديو؟,,,,,
List the name of film studio that have the most number of films.,قائمة أسماء استوديو الأفلام الذي لديه أكبر عدد من الأفلام.,,,,,
What is the name of teh studio that created the most films?,ما هو اسم الاستوديو الذي أنتج أكبر عدد من الأفلام؟,,,,,
List the names of studios that have at least two films.,قائمة أسماء الاستوديوهات التي لديها ما لا يقل عن اثنين من الأفلام.,,,,,
What are the names of studios that have made two or more films?,ما هي أسماء الاستوديوهات التي أنتجت على الأقل فيلمين أو أكثر؟,,,,,
List the title of films that do not have any market estimation.,قائمة عناوين الأفلام التي لا تحتوي على أي تقديرات سوقية.,,,,,
What are the titles of films that do not have a film market estimation?,ما هي عناوين الأفلام التي ليس لها تقديرات سوقية؟,,,,,
"Show the studios that have produced films with director ""Nicholas Meyer"" and ""Walter Hill"".","أظهر الاستوديوهات التي أنتجت أفلامًا بإخراج ""نيكولاس ماير"" و ""والتر هيل"".",,,,,
What are the names of studios that have produced films with both Nicholas Meyer and Walter Hill?,ما هي أسماء الاستوديوهات التي أنتجت أفلامًا بكل من نيكولاس ماير ووالتر هيل؟,,,,,
"Find the titles and studios of the films that are produced by some film studios that contained the word ""Universal"".","ابحث عن عناوين واستوديوهات الأفلام التي تم إنتاجها من قبل بعض استوديوهات الأفلام التي تحتوي على كلمة ""يونيفرسال"".",,,,,
"What are the titles and studios of films that have been produced by a studio whose name contains ""Universal""?","ما هي عناوين واستوديوهات الأفلام التي تم إنتاجها من قبل استوديو يحتوي على كلمة ""يونيفرسال"" في اسمه؟",,,,,
"Show the studios that have not produced films with director ""Walter Hill"".","أظهر الاستوديوهات التي لم تنتج أفلامًا بإخراج ""والتر هيل"".",,,,,
Which studios have never worked with the director Walter Hill?,أي الاستوديوهات لم تعمل أبدًا مع المخرج والتر هيل؟,,,,,
List the studios which average gross is above 4500000.,قائمة الاستوديوهات التي متوسط إجمالي العائد لديها أعلى من 4500000.,,,,,
Which studios have an average gross of over 4500000?,أي الاستوديوهات لديها متوسط إجمالي أعلى من 4500000؟,,,,,
What is the title of the film that has the highest high market estimation.,ما هو عنوان الفيلم الذي يحمل أعلى تقدير سوقي عالي؟,,,,,
Return the title of the film with the highest high estimate?,ما هو عنوان الفيلم الذي يحمل أعلى تقدير سوقي عالي؟,,,,,
What are the titles and directors of the films were never presented in China?,ما هي عناوين الأفلام والمخرجين الذين لم يتم عرض أفلامهم في الصين؟,,,,,
Return the titles and directors of films that were never in the market of China.,ما هي عناوين الأفلام والمخرجين الذين لم تكن أفلامهم في سوق الصين؟,,,,,
How many calendar items do we have?,كم عدد عناصر التقويم لدينا؟,,,,,
Count the number of all the calendar items.,عدد عناصر التقويم كلها.,,,,,
Show all calendar dates and day Numbers.,أظهر جميع تواريخ التقويم وأرقام الأيام.,,,,,
What are all the calendar dates and day Numbers?,ما هي جميع تواريخ التقويم وأرقام الأيام؟,,,,,
Show the number of document types.,أظهر عدد أنواع المستندات.,,,,,
How many document types are there?,كم عدد أنواع المستندات؟,,,,,
List all document type codes and document type names.,قائمة جميع أكواد أنواع المستندات وأسماء أنواع المستندات.,,,,,
What are all the document type codes and document type names?,ما هي جميع أكواد أنواع المستندات وأسماء أنواع المستندات؟,,,,,
What is the name and description for document type code RV?,ما هو اسم ووصف كود نوع المستند RV؟,,,,,
Give me the name and description of the document type code RV.,أعطني اسم ووصف كود نوع المستند RV.,,,,,
"What is the document type code for document type ""Paper""?","ما هو كود نوع المستند لنوع المستند ""ورقة""؟",,,,,
"Find the code of the document type ""Paper"".","ما هو رمز نوع المستند ""ورقة""؟",,,,,
Show the number of documents with document type code CV or BK.,أظهر عدد الوثائق برمز نوع المستند CV أو BK.,,,,,
How many documents have document type code CV or BK?,كم عدد الوثائق التي لها رمز نوع المستند CV أو BK؟,,,,,
"What is the date when the document ""Marry CV"" was stored?","ما هو تاريخ تخزين المستند ""Marry CV""؟",,,,,
"When was the document named ""Marry CV"" stored? Give me the date.","متى تم تخزين المستند المسمى ""Marry CV""؟ أعطني التاريخ.",,,,,
What is the day Number and date of all the documents?,ما هو رقم اليوم والتاريخ لجميع المستندات؟,,,,,
Return the day Number and stored date for all the documents.,أعد الرقم اليومي والتاريخ المخزن لجميع المستندات.,,,,,
"What is the document type name for the document with name ""How to read a book""?","ما هو اسم نوع المستند للمستند بالاسم ""كيفية قراءة كتاب""؟",,,,,
"Find the document type name of the document named ""How to read a book"".","ابحث عن اسم نوع المستند للمستند بالاسم ""كيفية قراءة كتاب"".",,,,,
Show the number of locations.,أظهر عدد المواقع.,,,,,
How many locations are listed in the database?,كم عدد المواقع المدرجة في قاعدة البيانات؟,,,,,
List all location codes and location names.,قائمة جميع رموز المواقع وأسماء المواقع.,,,,,
What are all the location codes and location names?,ما هي جميع رموز المواقع وأسماء المواقع؟,,,,,
What are the name and description for location code x?,ما هي الاسم والوصف لرمز الموقع X؟,,,,,
Give me the name and description of the location with code x.,أعطني الاسم والوصف للموقع ذو الرمز X.,,,,,
"What is the location code for the country ""Canada""?","ما هو رمز الموقع للبلد ""كندا""؟",,,,,
"Show the location code of the country ""Canada"".","أظهر رمز الموقع للبلد ""كندا"".",,,,,
How many roles are there?,كم عدد الأدوار؟,,,,,
Count the total number of roles listed.,احسب العدد الإجمالي للأدوار المدرجة.,,,,,
"List all role codes, role names, and role descriptions.",قائمة جميع رموز الأدوار وأسماء الأدوار ووصف الأدوار.,,,,,
"What are all the role codes, role names, and role descriptions?",ما هي جميع رموز الأدوار وأسماء الأدوار ووصف الأدوار؟,,,,,
"What are the name and description for role code ""MG""?","ما هي الاسم والوصف لرمز الدور ""MG""؟",,,,,
"Find the name and description of the role with code ""MG"".","اعثر على الاسم والوصف للدور ذو الرمز ""MG"".",,,,,
"Show the description for role name ""Proof Reader"".","أظهر الوصف لاسم الدور ""Proof Reader"".",,,,,
"What is the description of the role named ""Proof Reader""?","ما هو الوصف للاسم الدور ""Proof Reader""؟",,,,,
How many employees do we have?,كم عدد الموظفين لدينا؟,,,,,
Find the number of employees we have.,ابحث عن عدد الموظفين لدينا.,,,,,
"Show the name, role code, and date of birth for the employee with name 'Armani'.",أظهر الاسم ورمز الدور وتاريخ الميلاد للموظف بالاسم 'أرماني'.,,,,,
"What are the name, role code, and date of birth of the employee named 'Armani'?",ما هي الاسم ورمز الدور وتاريخ الميلاد للموظف بالاسم 'أرماني'؟,,,,,
What is the id for the employee called Ebba?,ما هو الهوية للموظف المسمى إيبا؟,,,,,
Show the id of the employee named Ebba.,ما هو رمز الموظف بالاسم إيبا؟,,,,,
"Show the names of all the employees with role ""HR"".","أظهر أسماء جميع الموظفين ذوي الدور ""HR"".",,,,,
"Which employees have the role with code ""HR""? Find their names.","أي موظفين لديهم الدور برمز ""HR""؟ ابحث عن أسمائهم.",,,,,
Show all role codes and the number of employees in each role.,أظهر جميع رموز الأدوار وعدد الموظفين في كل دور.,,,,,
What is the code of each role and the number of employees in each role?,ما هو رمز كل دور وعدد الموظفين في كل دور؟,,,,,
What is the role code with the largest number of employees?,ما هو رمز الدور الذي يحتوي على أكبر عدد من الموظفين؟,,,,,
Find the code of the role that have the most employees.,ابحث عن رمز الدور الذي يحتوي على أكبر عدد من الموظفين.,,,,,
Show all role codes with at least 3 employees.,أظهر جميع رموز الأدوار التي تحتوي على ما لا يقل عن 3 موظفين.,,,,,
What are the roles with three or more employees? Give me the role codes.,ما هي الأدوار التي يوجد فيها ثلاثة أو أكثر من الموظفين؟ أعطني رموز الأدوار.,,,,,
Show the role code with the least employees.,أظهر رمز الدور الذي يحتوي على أقل عدد من الموظفين.,,,,,
What is the role with the smallest number of employees? Find the role codes.,ما هو الدور الذي يحتوي على أقل عدد من الموظفين؟ ابحث عن رموز الأدوار.,,,,,
What is the role name and role description for employee called Ebba?,ما هو اسم الدور ووصف الدور للموظف المسمى إيبا؟,,,,,
Show the name and description of the role played by the employee named Ebba.,أظهر اسم ووصف الدور الذي يلعبه الموظف بالاسم إيبا.,,,,,
Show the names of employees with role name Editor.,"أظهر أسماء الموظفين ذوي الدور الذي يسمى ""Editor"".",,,,,
"Find the names of all the employees whose the role name is ""Editor"".","ابحث عن أسماء جميع الموظفين الذين يكون اسم دورهم ""Editor"".",,,,,
"Show the employee ids for all employees with role name ""Human Resource"" or ""Manager"".","أظهر معرّفات الموظفين لجميع الموظفين ذوي اسم الدور ""Human Resource"" أو ""Manager"".",,,,,
"What are the employee ids of the employees whose role name is ""Human Resource"" or ""Manager""?","ما هي معرّفات الموظفين الذين يحملون اسم الدور ""Human Resource"" أو ""Manager""؟",,,,,
What are the different location codes for documents?,ما هي رموز المواقع المختلفة للوثائق؟,,,,,
Give me all the distinct location codes for documents.,أعطني كل رموز المواقع المميزة للوثائق.,,,,,
"Show the location name for document ""Robin CV"".","أظهر اسم الموقع للوثيقة ""Robin CV"".",,,,,
"What is the location name of the document ""Robin CV""?","ما هو اسم الموقع للوثيقة ""Robin CV""؟",,,,,
"Show the location code, the starting date and ending data in that location for all the documents.",أظهر رمز الموقع وتاريخ البدء وتاريخ الانتهاء في ذلك الموقع لجميع الوثائق.,,,,,
"What are each document's location code, and starting date and ending data in that location?",ما هي رموز المواقع وتواريخ البدء والانتهاء في تلك المواقع لكل وثيقة؟,,,,,
"What is ""the date in location from"" and ""the date in location to"" for the document with name ""Robin CV""?","ما هي ""التاريخ في الموقع من"" و ""التاريخ في الموقع إلى"" للوثيقة بالاسم ""Robin CV""؟",,,,,
"Find the starting date and ending data in location for the document named ""Robin CV"".","ابحث عن تاريخ البدء وتاريخ الانتهاء في الموقع للوثيقة المسماة ""Robin CV"".",,,,,
Show the location codes and the number of documents in each location.,أظهر رموز المواقع وعدد الوثائق في كل موقع.,,,,,
What is the code of each location and the number of documents in that location?,ما هو رمز كل موقع وعدد الوثائق في ذلك الموقع؟,,,,,
What is the location code with the most documents?,ما هو رمز الموقع الذي يحتوي على أكبر عدد من الوثائق؟,,,,,
Find the code of the location with the largest number of documents.,ابحث عن رمز الموقع الذي يحتوي على أكبر عدد من الوثائق.,,,,,
Show the location codes with at least 3 documents.,أظهر رموز المواقع التي تحتوي على ما لا يقل عن 3 وثائق.,,,,,
What are the codes of the locations with at least three documents?,ما هي رموز المواقع التي تحتوي على ما لا يقل عن ثلاث وثائق؟,,,,,
Show the location name and code with the least documents.,أظهر اسم الموقع ورمزه الذي يحتوي على أقل عدد من الوثائق.,,,,,
What are the name and code of the location with the smallest number of documents?,ما هي الاسم والرمز للموقع الذي يحتوي على أقل عدد من الوثائق؟,,,,,
What are the names of the employees who authorised the destruction and the employees who destroyed the corresponding documents?,ما هي أسماء الموظفين الذين أذنوا بتدمير الوثائق والموظفين الذين قاموا بتدمير الوثائق المقابلة؟,,,,,
List the names of the employees who authorized the destruction of documents and the employees who destroyed the corresponding documents.,قم بسرد أسماء الموظفين الذين أذنوا بتدمير الوثائق والموظفين الذين قاموا بتدمير الوثائق المقابلة.,,,,,
Show the id of each employee and the number of document destruction authorised by that employee.,أظهر معرّف كل موظف وعدد الوثائق التي تم تدميرها بموافقة ذلك الموظف.,,,,,
What are the id of each employee and the number of document destruction authorised by that employee?,ما هي معرّفات كل موظف وعدد الوثائق التي تم تدميرها بموافقة ذلك الموظف؟,,,,,
Show the employee ids and the number of documents destroyed by each employee.,أظهر معرّفات الموظفين وعدد الوثائق التي تم تدميرها بواسطة كل موظف.,,,,,
What are the id of each employee and the number of document destroyed by that employee?,ما هي معرّفات كل موظف وعدد الوثائق التي تم تدميرها بواسطة ذلك الموظف؟,,,,,
Show the ids of the employees who don't authorize destruction for any document.,أظهر معرّفات الموظفين الذين لم يوافقوا على تدمير أي وثيقة.,,,,,
Which employees do not authorize destruction for any document? Give me their employee ids.,ما هي الموظفين الذين لم يوافقوا على تدمير أي وثيقة؟ أعطني معرّفاتهم.,,,,,
Show the ids of all employees who have authorized destruction.,أظهر معرّفات جميع الموظفين الذين وافقوا على تدمير الوثائق.,,,,,
What are the ids of all the employees who authorize document destruction?,ما هي معرّفات جميع الموظفين الذين وافقوا على تدمير الوثائق؟,,,,,
Show the ids of all employees who have destroyed a document.,أظهر معرّفات جميع الموظفين الذين قاموا بتدمير وثيقة.,,,,,
What are the ids of all the employees who have destroyed documents?,ما هي معرّفات جميع الموظفين الذين قاموا بتدمير الوثائق؟,,,,,
Show the ids of all employees who don't destroy any document.,ما هي معرّفات جميع الموظفين الذين لا يدمرون أي وثيقة؟,,,,,
Which employees do not destroy any document? Find their employee ids.,أي الموظفين لا يدمرون أي وثيقة؟ ابحث عن معرّفاتهم.,,,,,
Show the ids of all employees who have either destroyed a document or made an authorization to do this.,أظهر معرّفات جميع الموظفين الذين قاموا بتدمير وثيقة أو قاموا بالموافقة على ذلك.,,,,,
Which employees have either destroyed a document or made an authorization to do so? Return their employee ids.,من الموظفين الذين قاموا بتدمير وثيقة أو قاموا بالموافقة على ذلك؟ أعد معرّفاتهم.,,,,,
How many clubs are there?,كم نادياً هنا؟,,,,,
Count the total number of clubs.,ما مجموع عدد النوادي؟,,,,,
What are the names of all clubs?,ما هي أسماء جميع النوادي؟,,,,,
Give me the name of each club.,أعطني اسم كل نادٍ.,,,,,
How many students are there?,كم طالب هنا؟,,,,,
Count the total number of students.,ما مجموع عدد الطلاب؟,,,,,
What are the first names of all the students?,ما هي أسماء الطلاب جميعاً؟,,,,,
Find each student's first name.,اعثر على اسم الطالب الأول.,,,,,
"Find the last names of the members of the club ""Bootup Baltimore"".","اعثر على أسماء العائلة لأعضاء نادي ""Bootup Baltimore"".",,,,,
"Who are the members of the club named ""Bootup Baltimore""? Give me their last names.","من هم أعضاء نادي يحمل اسم ""Bootup Baltimore""؟ أعطني أسماءهم الأخيرة.",,,,,
"Who are the members of the club named ""Hopkins Student Enterprises""? Show the last name.","من هم أعضاء نادي يحمل اسم ""Hopkins Student Enterprises""؟ أظهر اسم العائلة.",,,,,
"Return the last name for the members of the club named ""Hopkins Student Enterprises"".","ما هو الاسم الأخير لأعضاء النادي المسمى ""Hopkins Student Enterprises""؟",,,,,
"How many members does the club ""Tennis Club"" has?","كم عدد الأعضاء في نادي ""Tennis Club""؟",,,,,
"Count the members of the club ""Tennis Club"".","عد أعضاء نادي ""Tennis Club"".",,,,,
"Find the number of members of club ""Pen and Paper Gaming"".","اعثر على عدد أعضاء نادي ""Pen and Paper Gaming"".",,,,,
"How many people have membership in the club ""Pen and Paper Gaming""?","كم عدد الأشخاص الذين لديهم عضوية في نادي ""Pen and Paper Gaming""؟",,,,,
"How many clubs does ""Linda Smith"" belong to?","كم ناديًا ينتمي ""ليندا سميث"" إليه؟",,,,,
"How many clubs does ""Linda Smith"" have membership for?","كم ناديًا يمتلك ""ليندا سميث"" عضوية فيه؟
",,,,,
"Find the number of clubs where ""Tracy Kim"" is a member.","اعثر على عدد النوادي التي يكون ""تريسي كيم"" عضوًا فيها.",,,,,
"For how many clubs is ""Tracy Kim"" a member?","لكم نادٍ يكون ""تريسي كيم"" عضوًا فيه؟
",,,,,
"Find all the female members of club ""Bootup Baltimore"". Show the first name and last name.","ابحث عن جميع الأعضاء الإناث في نادي ""Bootup Baltimore"". أظهر الاسم الأول والاسم الأخير.",,,,,
"Give me the first name and last name for all the female members of the club ""Bootup Baltimore"".","أعطني الاسم الأول والاسم الأخير لجميع الأعضاء الإناث في نادي ""Bootup Baltimore"".",,,,,
"Find all the male members of club ""Hopkins Student Enterprises"". Show the first name and last name.","ابحث عن جميع الأعضاء الذكور في نادي ""Hopkins Student Enterprises"". أظهر الاسم الأول والاسم الأخير.",,,,,
"What are the first name and last name of each male member in club ""Hopkins Student Enterprises""?","ما هي الأسماء الأولى والأسماء الأخيرة لكل من الأعضاء الذكور في نادي ""Hopkins Student Enterprises""؟",,,,,
"Find all members of ""Bootup Baltimore"" whose major is ""600"". Show the first name and last name.","ابحث عن جميع أعضاء ""Bootup Baltimore"" الذين يدرسون ""600"". أظهر الاسم الأول والاسم الأخير.",,,,,
"Which members of ""Bootup Baltimore"" major in ""600""? Give me their first names and last names.","من هم أعضاء ""Bootup Baltimore"" الذين يدرسون ""600""؟ أعطني أسمائهم الأولى وأسمائهم الأخيرة.",,,,,
"Which club has the most members majoring in ""600""?","أي نادٍ يمتلك أكبر عدد من الأعضاء الذين يدرسون ""600""؟",,,,,
"Find the club which has the largest number of members majoring in ""600"".","اعثر على النادي الذي يمتلك أكبر عدد من الأعضاء الذين يدرسون ""600"".",,,,,
Find the name of the club that has the most female students.,ابحث عن اسم النادي الذي يمتلك أكبر عدد من الطالبات.,,,,,
Which club has the most female students as their members? Give me the name of the club.,أي نادٍ يمتلك أكبر عدد من الطالبات كأعضاء له؟ أعطني اسم النادي.,,,,,
"What is the description of the club named ""Tennis Club""?","ما هو وصف النادي المسمى ""Tennis Club""؟",,,,,
"Find the description of the club called ""Tennis Club"".","ابحث عن وصف النادي المسمى ""Tennis Club"".",,,,,
"Find the description of the club ""Pen and Paper Gaming"".","ابحث عن وصف النادي ""Pen and Paper Gaming"".",,,,,
"What is the description of the club ""Pen and Paper Gaming""?","ما هو وصف النادي ""Pen and Paper Gaming""؟",,,,,
"What is the location of the club named ""Tennis Club""?","ما هو موقع النادي المسمى ""Tennis Club""؟",,,,,
"Where us the club named ""Tennis Club"" located?","أين يقع النادي المسمى ""Tennis Club""؟",,,,,
"Find the location of the club ""Pen and Paper Gaming"".","ابحث عن موقع النادي ""Pen and Paper Gaming"".",,,,,
"Where is the club ""Pen and Paper Gaming"" located?","أين يقع النادي ""Pen and Paper Gaming""؟",,,,,
"Where is the club ""Hopkins Student Enterprises"" located?","أين يقع النادي ""Pen and Paper Gaming""؟",,,,,
"Tell me the location of the club ""Hopkins Student Enterprises"".","أخبرني عن موقع النادي ""Hopkins Student Enterprises"".",,,,,
"Find the name of all the clubs at ""AKW"".","ابحث عن اسم جميع النوادي في ""AKW"".





",,,,,
"Which clubs are located at ""AKW""? Return the club names.","أي النوادي موجودة في ""AKW""؟ أعد أسماء النوادي.",,,,,
"How many clubs are located at ""HHH""?","كم عدد النوادي الموجودة في ""HHH""؟",,,,,
"Count the number of clubs located at ""HHH"".","عد عدد النوادي الموجودة في ""HHH"".",,,,,
"What are the first and last name of the president of the club ""Bootup Baltimore""?","ما هي الاسم واللقب لرئيس نادي ""Bootup Baltimore""؟",,,,,
"Who is the president of the club ""Bootup Baltimore""? Give me the first and last name.","من هو رئيس نادي ""Bootup Baltimore""؟ أعطني الاسم الأول واللقب.",,,,,
"Who is the ""CTO"" of club ""Hopkins Student Enterprises""? Show the first name and last name.","من هو ""CTO"" لنادي ""Hopkins Student Enterprises""؟ أظهر الاسم الأول واللقب.",,,,,
"Find the first name and last name for the ""CTO"" of the club ""Hopkins Student Enterprises""?","ابحث عن الاسم الأول واللقب لـ ""CTO"" لنادي ""Hopkins Student Enterprises"".",,,,,
"How many different roles are there in the club ""Bootup Baltimore""?","كم عدد الأدوار المختلفة في نادي ""Bootup Baltimore""؟",,,,,
"Count the number of different positions in the club ""Bootup Baltimore"".","عد عدد المواقع المختلفة في نادي ""Bootup Baltimore"".",,,,,
"How many members of ""Bootup Baltimore"" are older than 18?","كم عدد أعضاء ""Bootup Baltimore"" الذين تتجاوز أعمارهم 18 عامًا؟",,,,,
"Count the number of members in club ""Bootup Baltimore"" whose age is above 18.","عد عدد الأعضاء في نادي ""Bootup Baltimore"" الذين تزيد أعمارهم عن 18 عامًا.",,,,,
"How many members of club ""Bootup Baltimore"" are younger than 18?","كم عدد أعضاء نادي ""Bootup Baltimore"" الذين أصغر من 18 عامًا؟",,,,,
"Count the number of members in club ""Bootup Baltimore"" whose age is below 18.","عد عدد الأعضاء في نادي ""Bootup Baltimore"" الذين أقل من 18 عامًا.",,,,,
"Find the names of all the clubs that have at least a member from the city with city code ""BAL"".","ابحث عن أسماء جميع النوادي التي يوجد لديها عضو على الأقل من المدينة التي يكون لديها رمز المدينة ""BAL"".",,,,,
"Which clubs have one or more members from the city with code ""BAL""? Give me the names of the clubs.","أي النوادي التي يمتلك أحد أعضائها من المدينة التي يكون لها الرمز ""BAL""؟ أعطني أسماء النوادي.",,,,,
"Find the names of the clubs that have at least a member from the city with city code ""HOU"".","ما هي أسماء النوادي التي يوجد لديها عضو على الأقل من المدينة التي يكون لديها رمز المدينة ""HOU""؟",,,,,
"Which clubs have one or more members from the city with code ""HOU""? Give me the names of the clubs.","أي النوادي التي يمتلك أحد أعضائها من المدينة التي يكون لها الرمز ""HOU""؟ أعطني أسماء النوادي.",,,,,
"How many clubs does the student named ""Eric Tai"" belong to?","كم نادي ينتمي الطالب المسمى ""Eric Tai"" إليه؟",,,,,
"Count the number of clubs for which the student named ""Eric Tai"" is a member.","عد عدد النوادي التي ينتمي إليها الطالب المسمى ""Eric Tai"".",,,,,
"List the clubs having ""Davis Steven"" as a member.","أورد النوادي التي لديها ""Davis Steven"" كعضو.",,,,,
"What are the names of the clubs that have ""Davis Steven"" as a member?","ما هي أسماء النوادي التي لديها ""Davis Steven"" كعضو؟",,,,,
"List the clubs that have at least a member with advisor ""1121"".","أورد النوادي التي يوجد لديها عضو على الأقل مع مستشار ""1121"".",,,,,
"Which clubs have one or more members whose advisor is ""1121""?","أي النوادي التي يمتلك أحد أعضائها مستشارًا ""1121""؟ أعطني أسماء النوادي.",,,,,
"What is the average age of the members of the club ""Bootup Baltimore""?","ما هو متوسط العمر لأعضاء نادي ""Bootup Baltimore""؟",,,,,
